,"Reaktor GmbH, Jülich2)",Versuchsreaktors,,,
,,,,,
125,Awareness Capital,Sonstiges 2.703.000,1.803.000,"66,67",FMS-WM
,"S.L., Barakaldo",Grundstücks-,,,
,,wesen,,,
126,Axiom Rail (Stoke),Instandhaltungs- 8.333.939,8.333.939,100,"Marcroft Holding Ltd,"
,"Limited, Doncaster/",gesellschaft GBP,GBP,,Doncaster
,Großbritannien,,,,
,,,,,
127,B.B. Motors (Bristol),Mantelgesellschaft 100.000,100.000,100,Arriva Motor
,"Limited, Sunderland",GBP,GBP,,"Holdings Limited,"
,,,,,Sunderland
,,,,,
128,"Bäckebols Akeri AB,",Transport & 1.500.000,525.000,35,"Schenker AB,"
,Göteborg/Schweden,Logistik SEK,SEK,,Göteborg
,,,,,
129,"Barraqueiro SGPS SA,",69.833.841,21.997.660,"31,5",ARRIVA
,Lissabon/Portugal,,,,INVESTIMENTOS
,,,,,"SGPS,SA, Almada"
,,,,,
130,BAX Global (Malaysia),Management- 508.795,508.795,100,Schenker Mauritius
,"Sdn. Bhd., Shah",gesellschaft MYR,MYR,,(Malaysian Holdings)
,AlamPetaling,,,,"Ltd., Port Louis"
,Jaya/Malaysia,,,,
,,,,,
131,BAX Global (Thailand),2.000.000 THB,2.000.000 THB,100,Schenker (Thai)
